Date,SARIMAX_Order,Detected_Wave_Period_Days,Detected_Wave_Magnitude,AIC,Monthly_RMSE_Simple
2025-07-31,"(0, 0, 0)",624.5,9.4422805,-3471.755,0.010924745527423303
2025-08-31,"(0, 0, 0)",636.0,10.417653476190477,-3539.3614285714284,0.010540914449410422
2025-09-30,"(0, 0, 0)",657.0,12.410476666666666,-3667.7638095238094,0.010194764089574142
2025-10-31,"(0, 0, 0)",679.0,14.527556782608695,-3800.9347826086955,0.01329519764078412
2025-11-30,"(0, 0, 0)",700.0,16.514144421052634,-3924.6094736842106,0.013572930961965551
2025-12-31,"(0, 0, 0)",720.5,18.47927118181818,-4035.492272727273,0.0157925585096591
2026-01-31,"(0, 0, 0)",740.5,20.3988885,-4143.61,0.017611487048001005
